Time (sec),LS_Acceleration_X,LS_Acceleration_Y,LS_Acceleration_Z
0.5,0.03,-1.03,-0.1
1,0.04,-1.03,-0.08
1.5,0.04,-1.03,-0.08
2,0.03,-1.02,-0.07
2.5,0.04,-1.03,-0.08
3,0.04,-1.02,-0.07
3.5,0.04,-1.03,-0.08
4,0.04,-1.03,-0.07
4.5,0.05,-1.02,-0.06
5,0.05,-1.02,-0.06
5.5,0.05,-1.03,-0.05
6,0.04,-1.01,-0.07
6.5,0.05,-1.01,-0.07
7,0.04,-1.04,-0.08
7.5,0.05,-1.04,-0.07
8,0.05,-1.03,-0.08
8.5,0.05,-1.02,-0.07
9,0.05,-1.03,-0.07
9.5,0.05,-1.02,-0.06
10,0.05,-1.03,-0.07
10.5,0.04,-1.03,-0.06
11,0.05,-1.02,-0.06
11.5,0.05,-1.03,-0.07
12,0.04,-1.04,-0.07
12.5,0.05,-1.02,-0.07
13,0.06,-1.03,-0.07
13.5,0.05,-1.03,-0.07
14,0.05,-1.02,-0.06
14.5,0.05,-1.02,-0.07
15,0.05,-1.02,-0.06
15.5,0.04,-1.05,-0.09
16,0.05,-1.03,-0.08
16.5,0.05,-1.03,-0.08
17,0.05,-1.03,-0.07
17.5,0.05,-1.02,-0.06
18,0.04,-1.02,-0.06
18.5,0.04,-1.02,-0.06
19,0.05,-1.03,-0.07
19.5,0.04,-1.02,-0.07
20,0.03,-1.03,-0.07
20.5,0.03,-1.03,-0.08
21,0.06,-1.02,-0.06
21.5,0.05,-1.02,-0.07
22,0.04,-1.03,-0.07
22.5,0.05,-1.03,-0.07
23,0.05,-1.02,-0.06
23.5,0.05,-1.01,-0.05
24,0.05,-1.03,-0.06
24.5,0.04,-1.02,-0.05
25,0.05,-1.03,-0.06
25.5,0.04,-1.02,-0.06
26,0.05,-1.03,-0.07
26.5,0.05,-1.02,-0.07
27,0.05,-1.02,-0.07
27.5,0.04,-1.03,-0.07
28,0.04,-1.02,-0.06
28.5,0.04,-1.02,-0.06
29,0.03,-1.04,-0.07
29.5,0.04,-1.02,-0.07
30,0.04,-1.02,-0.07
30.5,0.04,-1.03,-0.08
31,0.04,-1.02,-0.06
31.5,0.03,-1.02,-0.07
32,0.04,-1.02,-0.08
32.5,0.04,-1.03,-0.07
33,0.04,-1.02,-0.07
33.5,0.04,-1.02,-0.07
34,0.03,-1.03,-0.07
34.5,0.03,-1.02,-0.07
35,0.04,-1.02,-0.07
35.5,0.04,-1.02,-0.07
36,0.03,-1.04,-0.08
36.5,0.04,-1.03,-0.08
37,0.03,-1.02,-0.08
37.5,0.03,-1.02,-0.08
38,0.04,-1.02,-0.08
38.5,0.03,-1.02,-0.08
39,0.03,-1.02,-0.08
39.5,0.03,-1.03,-0.08
40,0.03,-1.02,-0.08
40.5,0.03,-1.03,-0.08
41,0.03,-1.03,-0.08
41.5,0.03,-1.03,-0.08
42,0.03,-1.02,-0.07
42.5,0.03,-1.03,-0.08
43,0.03,-1.03,-0.08
43.5,0.03,-1.03,-0.08
44,0.03,-1.01,-0.08
44.5,0.04,-1.02,-0.08
45,0.03,-1.04,-0.08
45.5,0.03,-1.02,-0.08
46,0.03,-1.03,-0.07
46.5,0.04,-1.03,-0.07
47,0.03,-1.03,-0.07
47.5,0.04,-1.03,-0.07
48,0.03,-1.03,-0.07
48.5,0.03,-1.04,-0.08
49,0.04,-1.03,-0.08
49.5,0.04,-1.03,-0.07
50,0.04,-1.03,-0.07
50.5,0.04,-1.03,-0.06
51,0.04,-1.02,-0.07
51.5,0.04,-1.03,-0.08
52,0.04,-1.02,-0.08
52.5,0.04,-1.02,-0.08
53,0.03,-1.03,-0.07
53.5,0.04,-1.02,-0.08
54,0.04,-1.03,-0.08
54.5,0.04,-1.02,-0.08
55,0.04,-1.01,-0.08
55.5,0.04,-1.02,-0.07
56,0.03,-1.02,-0.07
56.5,0.03,-1.03,-0.09
57,0.04,-1.02,-0.09
57.5,0.03,-1.01,-0.07
58,0.02,-1.03,-0.09
58.5,0.05,-1.02,-0.08
59,0.04,-1.02,-0.08
59.5,0.04,-1.02,-0.07
