Time (sec),NP_Acceleration_X,NP_Acceleration_Y,NP_Acceleration_Z
0.5,0.98,0.01,0.05
1,0.98,0.01,0.06
1.5,0.98,0,0.05
2,0.98,0,0.06
2.5,0.99,-0.01,0.06
3,0.99,0,0.06
3.5,0.99,0,0.06
4,0.97,0.01,0.06
4.5,0.99,0.01,0.07
5,0.99,0.01,0.06
5.5,0.99,0,0.06
6,0.98,0,0.07
6.5,0.98,0.01,0.06
7,0.98,0.01,0.05
7.5,0.98,0.01,0.07
8,0.98,0.01,0.07
8.5,0.98,0,0.07
9,0.97,0,0.06
9.5,0.98,0,0.06
10,0.99,0.01,0.07
10.5,0.99,0.01,0.07
11,0.98,0,0.06
11.5,0.98,0.01,0.06
12,0.98,0.01,0.07
12.5,0.98,0,0.07
13,0.99,0.01,0.07
13.5,0.99,0.01,0.06
14,0.99,0,0.05
14.5,0.97,0.01,0.03
15,0.99,-0.01,0.03
15.5,1,-0.03,0.02
16,0.99,0.01,0.04
16.5,0.99,0,0.07
17,0.97,0.04,0.09
17.5,0.97,0.01,0.06
18,0.98,-0.01,0.05
18.5,1.01,-0.02,0.02
19,1,0.01,0.07
19.5,0.98,0.01,0.07
20,0.99,0.01,0.09
20.5,0.97,0.01,0.08
21,0.97,0.02,0.07
21.5,0.99,0,0.07
22,0.97,0,0.05
22.5,0.98,0,0.07
23,0.99,0,0.07
23.5,0.98,0.01,0.08
24,0.98,0.01,0.08
24.5,0.98,0,0.06
25,0.99,0,0.07
25.5,0.97,0,0.07
26,0.97,0,0.07
26.5,0.98,0.01,0.07
27,0.98,0,0.07
27.5,0.99,0,0.07
28,0.98,0,0.07
28.5,0.99,0,0.07
29,0.98,0,0.06
29.5,0.98,0,0.07
30,0.98,0.01,0.06
30.5,0.98,-0.01,0.06
31,0.98,-0.02,0.06
31.5,0.99,-0.01,0.07
32,0.98,-0.01,0.06
32.5,0.99,0,0.07
33,0.98,0,0.07
33.5,0.99,0,0.07
34,0.97,-0.01,0.06
34.5,0.98,0,0.06
35,0.99,0.01,0.08
35.5,0.98,-0.01,0.07
36,1.01,-0.01,0.08
36.5,0.98,-0.01,0.07
37,0.98,0,0.07
37.5,0.98,0,0.08
38,0.99,0,0.08
38.5,0.99,-0.01,0.07
39,0.97,-0.01,0.07
39.5,1,-0.01,0.07
40,0.99,-0.01,0.07
40.5,0.98,-0.01,0.07
41,0.99,-0.01,0.07
41.5,0.99,0,0.07
42,0.99,-0.01,0.07
42.5,0.99,-0.01,0.07
43,0.99,0,0.08
43.5,0.98,-0.01,0.07
44,0.98,-0.01,0.08
44.5,0.98,0,0.08
45,0.99,-0.01,0.07
45.5,0.99,-0.01,0.07
46,0.99,-0.01,0.07
46.5,0.97,-0.01,0.07
47,0.97,-0.02,0.06
47.5,0.98,-0.01,0.07
48,0.99,-0.01,0.07
48.5,0.99,-0.01,0.07
49,0.98,-0.02,0.06
49.5,0.97,-0.01,0.07
50,0.98,0,0.08
50.5,0.98,-0.01,0.07
51,0.99,0,0.08
51.5,0.99,-0.01,0.07
52,0.98,0,0.06
52.5,0.99,0,0.08
53,0.99,0,0.08
53.5,0.98,-0.01,0.07
54,0.98,0,0.08
54.5,0.99,-0.01,0.07
55,0.98,-0.01,0.07
55.5,0.98,0,0.07
56,0.98,-0.02,0.07
56.5,0.98,0,0.07
57,0.99,0,0.07
57.5,0.98,0,0.08
58,0.99,0,0.07
58.5,0.98,0,0.07
59,0.99,0,0.07
59.5,0.99,0,0.07
