Time (sec),P_Acceleration_X,P_Acceleration_Y,P_Acceleration_Z
0.5,-0.06,0.07,-1.01
1,-0.06,0.07,-1
1.5,-0.06,0.08,-1
2,-0.06,0.07,-1
2.5,-0.06,0.06,-1
3,-0.06,0.07,-1
3.5,-0.06,0.07,-1
4,-0.06,0.07,-1
4.5,-0.06,0.07,-1
5,-0.06,0.07,-1
5.5,-0.06,0.07,-1
6,-0.06,0.07,-0.99
6.5,-0.06,0.07,-1
7,-0.06,0.07,-1
7.5,-0.06,0.07,-1
8,-0.06,0.07,-1
8.5,-0.06,0.07,-1
9,-0.06,0.07,-1
9.5,-0.06,0.07,-0.99
10,-0.06,0.07,-1
10.5,-0.06,0.07,-1
11,-0.06,0.07,-1
11.5,-0.06,0.07,-1
12,-0.06,0.07,-1
12.5,-0.06,0.07,-1
13,-0.06,0.08,-0.99
13.5,-0.04,0.07,-1
14,-0.07,0.12,-0.99
14.5,-0.06,0.12,-0.99
15,-0.06,0.11,-0.99
15.5,-0.06,0.08,-1
16,-0.06,0.08,-1
16.5,-0.06,0.08,-1
17,-0.06,0.07,-1
17.5,-0.06,0.07,-0.99
18,-0.06,0.07,-0.99
18.5,-0.06,0.07,-0.99
19,-0.06,0.08,-1
19.5,-0.06,0.08,-1
20,-0.06,0.08,-1
20.5,-0.06,0.08,-1
21,-0.06,0.08,-0.99
21.5,-0.06,0.08,-1
22,-0.06,0.08,-0.99
22.5,-0.06,0.08,-1
23,-0.06,0.08,-1
23.5,-0.06,0.08,-0.99
24,-0.06,0.08,-0.99
24.5,-0.06,0.08,-0.99
25,-0.06,0.08,-1
25.5,-0.06,0.08,-1
26,-0.06,0.08,-0.99
26.5,-0.06,0.08,-1
27,-0.06,0.08,-1
27.5,-0.06,0.08,-1
28,-0.06,0.08,-1
28.5,-0.06,0.08,-1
29,-0.06,0.08,-1
29.5,-0.06,0.08,-1
30,-0.06,0.08,-1
30.5,-0.06,0.08,-1
31,-0.06,0.08,-1
31.5,-0.06,0.08,-1
32,-0.06,0.08,-1
32.5,-0.06,0.08,-1
33,-0.06,0.08,-1
33.5,-0.06,0.08,-1
34,-0.06,0.08,-1
34.5,-0.06,0.08,-1
35,-0.06,0.08,-1
35.5,-0.06,0.07,-1
36,-0.06,0.08,-1
36.5,-0.06,0.08,-1
37,-0.06,0.08,-0.99
37.5,-0.06,0.08,-1
38,-0.06,0.08,-1
38.5,-0.06,0.08,-1
39,-0.06,0.08,-0.99
39.5,-0.06,0.08,-1
40,-0.06,0.08,-1
40.5,-0.06,0.08,-1
41,-0.06,0.08,-1
41.5,-0.06,0.08,-0.99
42,-0.06,0.08,-1
42.5,-0.06,0.08,-0.99
43,-0.06,0.08,-0.99
43.5,-0.06,0.08,-0.99
44,-0.06,0.08,-1
44.5,-0.06,0.08,-0.99
45,-0.06,0.08,-1
45.5,-0.06,0.08,-1
46,-0.06,0.08,-0.99
46.5,-0.06,0.07,-0.99
47,-0.06,0.07,-0.99
47.5,-0.06,0.08,-1
48,-0.06,0.08,-1
48.5,-0.06,0.09,-1
49,-0.06,0.08,-1
49.5,-0.06,0.09,-0.99
50,-0.06,0.09,-0.99
50.5,-0.06,0.08,-0.99
51,-0.06,0.09,-1
51.5,-0.06,0.08,-0.99
52,-0.06,0.08,-0.99
52.5,-0.06,0.09,-0.99
53,-0.06,0.09,-0.99
53.5,-0.06,0.1,-0.99
54,-0.06,0.1,-1
54.5,-0.06,0.11,-0.99
55,-0.06,0.1,-0.99
55.5,-0.06,0.11,-0.99
56,-0.06,0.1,-0.99
56.5,-0.06,0.1,-0.99
57,-0.06,0.11,-0.99
57.5,-0.06,0.11,-1
58,-0.06,0.11,-0.99
58.5,-0.06,0.11,-0.99
59,-0.06,0.11,-0.99
59.5,-0.06,0.11,-0.99
